																									
																									
																									
																									
																									
			금지어 목록	게임에서 사용하면 안되는 나쁜말을 적어주세요																					
																									
																									
																									
				언어 상관 없이 나쁜말을 적어주세요																					
			index	wordFilter																					
			329	f2ck																					
			330	fag																					
			331	faggot																					
			332	fap																					
			333	fatass																					
			334	femdom																					
			335	fingering																					
			336	fisting																					
			337	fuck																					
			338	fuckboy																					
			339	fuckedup																					
			340	fucker																					
			341	fuckfest																					
			342	fuckhead																					
			343	fucking																					
			344	fuckit																					
			345	fuckme																					
			346	fuckoff																					
			347	fucktard																					
			348	fucku																					
			349	fuckup																					
			350	fuckwit																					
			351	fuk																					
			352	fukk																					
			353	gangbang																					
			354	gay																					
			355	goddamn																					
			356	gook																					
			357	handjob																					
			358	hardon																					
			359	hell																					
			360	hoe																					
			361	homo																					
			362	horny																					
			363	incest																					
			364	jackass																					
			365	jackoff																					
			366	jerk																					
			367	jerkoff																					
			368	jizz																					
			369	kinky																					
			370	kike																					
			371	klansman																					
			372	knob																					
			373	kunt																					
			374	lesbo																					
			375	lesbian																					
			376	lickpussy																					
			377	milf																					
			378	mindfuck																					
			379	motherfucker																					
			380	muff																					
			381	necro																					
			382	necrophilia																					
			383	negro																					
			384	niga																					
			385	nigga																					
			386	nigger																					
			387	nipple																					
			388	nudes																					
			389	nudity																					
			390	orgasm																					
			391	orgy																					
			392	pedo																					
			393	pedophile																					
			394	penis																					
			395	phuck																					
			396	piss																					
			397	pissed																					
			398	pissoff																					
			399	playboy																					
			400	porn																					
			401	pornstar																					
			402	prick																					
			403	pube																					
			404	pussy																					
			405	queef																					
			406	queer																					
			407	rape																					
			408	rapist																					
			409	rimjob																					
			410	rimming																					
			411	scrotum																					
			412	sex																					
			413	sexaddict																					
			414	sexcam																					
			415	sexdoll																					
			416	sexed																					
			417	sexing																					
			418	sexmaniac																					
			419	sexy																					
			420	shagger																					
			421	shit																					
			422	shitface																					
			423	shithole																					
			424	shitting																					
			425	shitty																					
			426	skank																					
			427	slut																					
			428	sluthole																					
			429	slutfuck																					
			430	smut																					
			431	snatch																					
			432	sodomize																					
			433	spank																					
			434	spastic																					
			435	sperm																					
			436	spic																					
			437	stripper																					
			438	suck																					
			439	suckcock																					
			440	suckdick																					
			441	suckme																					
			442	sucking																					
			443	sux																					
			444	tits																					
			445	titfuck																					
			446	titjob																					
			447	titty																					
			448	tranny																					
			449	twat																					
			450	upyours																					
			451	vagina																					
			452	wank																					
			453	wanker																					
			454	whore																					
			455	wtf																					
			456	xxx																					
			457	zaddy																					
			458	69style																					
			459	4play																					
			460	analplay																					
			461	ass2mouth																					
			462	ass2vag																					
			463	assfuck																					
			464	assrape																					
			465	asswhore																					
			466	b1tch																					
			467	b@stard																					
			468	c0ck																					
			469	c*m																					
			470	c*nt																					
			471	d*ck																					
			472	f*ck																					
			473	f***																					
			474	f**k																					
			475	j*rk																					
			476	n1gga																					
			477	n1gger																					
			478	p*ssy																					
			479	p0rn																					
			480	ph@ck																					
			481	pornvid																					
			482	sexchat																					
			483	sexlife																					
			484	sh1t																					
			485	titjob																					
			486	titlover																					
			487	titporn																					
			488	w@nker																					
			489	wh*re																					
			490	slut4u																					
			491	slutbag																					
			492	gaylord																					
			493	rapeplay																					
			494	cumonface																					
